student_id,problem_id,correctness_rate,attempts,attempted_at,difficulty,runtime_ms,source_code,complexity_score,prev_difficulty,label,prev_difficulty_ord,train_test_split
1cbaaf59-3ac4-4b95-b573-6d09e3605af4,37,100.0,5,2026-08-16 16:14:57.120922+00:00,easy,5896,"def count_occurrences(text, sub):
    """"""
    Return the number of non-overlapping, case-insensitive occurrences of sub in text.
    """"""
    return text.lower().count(sub.lower())
    pass
",0,,easy,-1,TEST
1cbaaf59-3ac4-4b95-b573-6d09e3605af4,38,100.0,9,2026-08-16 18:54:53.395622+00:00,easy,4895,"def is_palindrome_str(s):
    """"""
    Return True if s is a palindrome, ignoring spaces and casing.
    """"""
    pal = s.lower().replace("" "", """")
    if (pal[::-1] == pal):
        return True
    return False",0,easy,hard,0,TEST
1cbaaf59-3ac4-4b95-b573-6d09e3605af4,137,100.0,2,2026-08-16 19:02:12.710213+00:00,hard,5815,"def is_palindrome(s):
    """"""
    Recursively check if s is a palindrome (no loops or string reversal).
    """"""
    if len(s) <= 1:
        return True

    if s[0] != s[-1]:
        return False

    return is_palindrome(s[1:-1])",2,easy,hard,0,TEST
1cbaaf59-3ac4-4b95-b573-6d09e3605af4,136,100.0,2,2026-08-16 19:09:40.929717+00:00,hard,5837,"def flatten(nested):
    """"""
    Recursively flatten an arbitrarily nested list into a single flat list of integers.
    """"""
    result = []

    for item in nested:
        if isinstance(item, list):
            result.extend(flatten(item))
        else:
            result.append(item)

    return result",2,hard,hard,2,TEST
1cbaaf59-3ac4-4b95-b573-6d09e3605af4,138,100.0,2,2026-08-16 19:13:27.810646+00:00,hard,5833,"def count_paths(rows, cols):
    """"""
    Recursively count the unique top-left to bottom-right paths in a rows x cols grid (right/down moves only).
    """"""
    if rows == 1 or cols == 1:
        return 1

    return count_paths(rows - 1, cols) + count_paths(rows, cols - 1)

def count_paths_memo(rows, cols, memo=None):
    """"""
    Same as count_paths, with memoization to avoid recomputation.
    """"""
    if memo is None:
        memo = {}

    if rows == 1 or cols == 1:
        return 1

    if (rows, cols) in memo:
        return memo[(rows, cols)]

    memo[(rows, cols)] = (
        count_paths_memo(rows - 1, cols, memo)
        + count_paths_memo(rows, cols - 1, memo)
    )

    return memo[(rows, cols)]
",3,hard,hard,2,TEST
2d4b222f-55ea-4a47-9537-c46795d9e1b7,76,100.0,2,2026-08-16 17:33:22.134684+00:00,medium,5824,"class Doctor:
    def __init__(self, doctor_id, name, specialty):
        self.doctor_id = doctor_id
        self.name = name
        self.specialty = specialty


class HospitalSystem:
    def __init__(self):
        self.doctors = {}
        self.appointments = []

    def add_doctor(self, doctor_id, name, specialty):
        if doctor_id in self.doctors:
            raise ValueError(""Doctor ID already exists"")

        self.doctors[doctor_id] = Doctor(doctor_id, name, specialty)

    def book_appointment(self, patient_name, doctor_id, date):
        if doctor_id not in self.doctors:
            raise ValueError(""Doctor not found"")

        for appointment in self.appointments:
            if (
                appointment[""doctor_id""] == doctor_id
                and appointment[""date""] == date
            ):
                raise ValueError(""Doctor already has an appointment on this date"")

        self.appointments.append({
            ""patient_name"": patient_name,
            ""doctor_id"": doctor_id,
            ""date"": date
        })

    def cancel_appointment(self, patient_name, doctor_id, date):
        for appointment in self.appointments:
            if (
                appointment[""patient_name""] == patient_name
                and appointment[""doctor_id""] == doctor_id
                and appointment[""date""] == date
            ):
                self.appointments.remove(appointment)
                return

        raise ValueError(""Appointment not found"")

    def get_appointments(self, doctor_id):
        if doctor_id not in self.doctors:
            raise ValueError(""Doctor not found"")

        result = []

        for appointment in self.appointments:
            if appointment[""doctor_id""] == doctor_id:
                result.append(
                    f'{appointment[""date""]}: {appointment[""patient_name""]}'
                )

        return sorted(result)

    def get_patient_doctors(self, patient_name):
        doctor_names = set()

        for appointment in self.appointments:
            if appointment[""patient_name""] == patient_name:
                doctor = self.doctors[appointment[""doctor_id""]]
                doctor_names.add(doctor.name)

        return sorted(doctor_names)",1,,hard,-1,TEST
2d4b222f-55ea-4a47-9537-c46795d9e1b7,75,100.0,2,2026-08-16 17:51:38.841950+00:00,medium,5987,"class StudentManager:
    def __init__(self):
        self.students = {}

    def enroll(self, student_name, course_name):
        if student_name not in self.students:
            self.students[student_name] = set()

        if course_name in self.students[student_name]:
            raise ValueError(""Student already enrolled"")

        self.students[student_name].add(course_name)

    def drop(self, student_name, course_name):
        if (
            student_name not in self.students
            or course_name not in self.students[student_name]
        ):
            raise ValueError(""Student not enrolled"")

        self.students[student_name].remove(course_name)

        if not self.students[student_name]:
            del self.students[student_name]

    def get_courses(self, student_name):
        if student_name not in self.students:
            return []

        return sorted(self.students[student_name])

    def get_students(self, course_name):
        result = []

        for student_name, courses in self.students.items():
            if course_name in courses:
                result.append(student_name)

        return sorted(result)

    def top_student(self):
        if not self.students:
            return None

        max_courses = max(
            len(courses) for courses in self.students.values()
        )

        top_students = [
            student_name
            for student_name, courses in self.students.items()
            if len(courses) == max_courses
        ]

        return sorted(top_students)[0]",1,medium,easy,1,TEST
2d4b222f-55ea-4a47-9537-c46795d9e1b7,77,83.33,17,2026-08-16 17:59:49.945753+00:00,medium,5872,"class MenuItem:
    def __init__(self, item_id, name, price, category):
        self.item_id = item_id
        self.name = name
        self.price = price
        self.category = category


class Restaurant:
    def __init__(self):
        self.menu = {}
        self.orders = {}

    def add_menu_item(self, item_id, name, price, category):
        if item_id in self.menu:
            raise ValueError(""Item ID already exists"")

        if price <= 0:
            raise ValueError(""Invalid price"")

        self.menu[item_id] = MenuItem(
            item_id, name, price, category
        )

    def place_order(self, table_number, item_id, quantity=1):
        if item_id not in self.menu:
            raise ValueError(""Item not found"")

        if quantity <= 0:
            raise ValueError(""Invalid quantity"")

        if table_number not in self.orders:
            self.orders[table_number] = {}

        if item_id not in self.orders[table_number]:
            self.orders[table_number][item_id] = 0

        self.orders[table_number][item_id] += quantity

    def remove_from_order(self, table_number, item_id, quantity=1):
        if quantity <= 0:
            raise ValueError(""Invalid quantity"")

        if table_number not in self.orders:
            raise ValueError(""Order not found"")

        if item_id not in self.orders[table_number]:
            raise ValueError(""Item not found in order"")

        if quantity > self.orders[table_number][item_id]:
            raise ValueError(""Quantity exceeds order"")

        self.orders[table_number][item_id] -= quantity

        if self.orders[table_number][item_id] == 0:
            del self.orders[table_number][item_id]

    def get_bill(self, table_number):
        if table_number not in self.orders:
            return ""No orders for table""

        if not self.orders[table_number]:
            return ""No orders for table""

        lines = []
        total = 0

        ordered_items = []

        for item_id, quantity in self.orders[table_number].items():
            item = self.menu[item_id]
            ordered_items.append((item.name, item, quantity))

        ordered_items.sort()

        for name, item, quantity in ordered_items:
            subtotal = item.price * quantity
            total += subtotal

            lines.append(
                f""{name} x{quantity} = PHP {round(float(subtotal), 2)}""
            )

        lines.append(
            f""Total: PHP {round(float(total), 2)}""
        )

        return ""\n"".join(lines)

    def get_menu_by_category(self, category):
        result = []

        for item in self.menu.values():
            if item.category == category:
                result.append(item.name)

        return sorted(result)",1,medium,medium,1,TEST
2d4b222f-55ea-4a47-9537-c46795d9e1b7,74,100.0,4,2026-08-16 18:01:28.619563+00:00,medium,5866,"class Product:
    def __init__(self, name, price, stock):
        self.name = name
        self.price = price
        self.stock = stock


class Store:
    def __init__(self):
        self.products = {}

    def add_product(self, name, price, stock):
        self.products[name] = Product(name, price, stock)

    def buy(self, name, quantity):
        if name not in self.products:
            raise ValueError(""Product not found"")

        if quantity <= 0:
            raise ValueError(""Invalid quantity"")

        product = self.products[name]

        if product.stock < quantity:
            raise ValueError(""Insufficient stock"")

        product.stock -= quantity

    def restock(self, name, quantity):
        if name not in self.products:
            raise ValueError(""Product not found"")

        if quantity <= 0:
            raise ValueError(""Invalid quantity"")

        self.products[name].stock += quantity

    def total_value(self):
        return round(
            sum(
                product.price * product.stock
                for product in self.products.values()
            ),
            2
        )

    def available_products(self):
        return sorted(
            product.name
            for product in self.products.values()
            if product.stock > 0
        )",1,medium,easy,1,TEST
2d4b222f-55ea-4a47-9537-c46795d9e1b7,73,100.0,6,2026-08-16 18:02:32.167464+00:00,medium,5889,"class Book:
    def __init__(self, title, author, available=True):
        self.title = title
        self.author = author
        self.available = available


class Library:
    def __init__(self):
        self.books = []

    def add_book(self, title, author):
        book = Book(title, author)
        self.books.append(book)

    def borrow_book(self, title):
        for book in self.books:
            if book.title == title:
                if not book.available:
                    raise ValueError(""Book is already borrowed"")

                book.available = False
                return

        raise ValueError(""Book not found"")

    def return_book(self, title):
        for book in self.books:
            if book.title == title:
                if book.available:
                    raise ValueError(""Book is not borrowed"")

                book.available = True
                return

        raise ValueError(""Book not found"")

    def available_books(self):
        titles = []

        for book in self.books:
            if book.available:
                titles.append(book.title)

        return sorted(titles)

    def search_by_author(self, author):
        titles = []

        for book in self.books:
            if book.author == author:
                titles.append(book.title)

        return sorted(titles)",1,medium,hard,1,TEST
32d149bc-9513-4766-a08f-da4790bf1a33,37,100.0,8,2026-08-16 16:07:52.968997+00:00,easy,6633,"def count_occurrences(text, sub):
    if not sub:
        return 0

    text = text.lower()
    sub = sub.lower()

    count = 0
    start = 0

    while True:
        place = text.find(sub, start)
        if (place == -1):
            break
        count += 1
        start = place + len(sub)
    
    return count
",1,,easy,-1,TRAIN
32d46d06-61c4-4bad-958b-6e95a885e2f9,109,100.0,2,2026-08-16 16:07:08.302501+00:00,hard,6773,"class ListNode:
    def __init__(self, val=0, next=None):
        self.val = val
        self.next = next

def ll_sum(head):
    """"""
    Return the sum of all node values in the linked list. Return 0 for an empty list.
    """"""
    total = 0
    current = head
    while current is not None:
        total += current.val
        current = current.next
    return total

def ll_to_list(head):
    """"""
    Convert a linked list to a Python list of values.
    """"""
    result = []
    current = head
    while current is not None:
        result.append(current.val)
        current = current.next
    return result

def list_to_ll(values):
    """"""
    Convert a Python list to a linked list and return the head node (or None if empty).
    """"""
    dummy = ListNode(0)
    current = dummy
    for val in values:
        current.next = ListNode(val)
        current = current.next
    return dummy.next",1,,hard,-1,TRAIN
32d46d06-61c4-4bad-958b-6e95a885e2f9,110,100.0,2,2026-08-16 16:10:08.287374+00:00,hard,3875,"class ListNode:
    def __init__(self, val=0, next=None):
        self.val = val
        self.next = next

def reverse_list(head):
    """"""
    Reverse the linked list in place (three-pointer technique) and return the new head.
    """"""
    prev = None
    current = head
    
    while current is not None:
        next_node = current.next 
        current.next = prev 
        
        prev = current
        current = next_node
        
    return prev",1,hard,hard,2,TRAIN
32d46d06-61c4-4bad-958b-6e95a885e2f9,112,100.0,3,2026-08-16 16:13:52.622135+00:00,hard,6008,"class ListNode:
    def __init__(self, val=0, next=None):
        self.val = val
        self.next = next

def find_middle(head):
    
    if head is None:
        return None
        
    slow = head
    fast = head
    
    while fast is not None and fast.next is not None:
        slow = slow.next
        fast = fast.next.next
        
    return slow.val",1,hard,hard,2,TRAIN
32d46d06-61c4-4bad-958b-6e95a885e2f9,111,100.0,2,2026-08-16 16:16:06.256847+00:00,hard,4840,"class ListNode:
    def __init__(self, val=0, next=None):
        self.val = val
        self.next = next

def delete_node(head, val):

    if head is None:
        return None
        
    if head.val == val:
        return head.next
        
    current = head
    while current.next is not None:
        if current.next.val == val:
            current.next = current.next.next
            break
        current = current.next
        
    return head",1,hard,hard,2,TRAIN
32d46d06-61c4-4bad-958b-6e95a885e2f9,113,100.0,4,2026-08-16 16:21:10.066921+00:00,hard,5854,"class ListNode:
    def __init__(self, val=0, next=None):
        self.val = val
        self.next = next

def merge_sorted(l1, l2):

    dummy = ListNode(0)
    current = dummy

    while l1 is not None and l2 is not None:
        if l1.val <= l2.val:
            current.next = l1  
            l1 = l1.next       
        else:
            current.next = l2  
            l2 = l2.next       
            
        current = current.next 
        
    if l1 is not None:
        current.next = l1
    elif l2 is not None:
        current.next = l2
        
    return dummy.next",1,hard,hard,2,TRAIN
382ec71a-d196-4cbe-ab46-b11e217da8f7,1,100.0,4,2026-08-17 02:42:58.626117+00:00,easy,5841,"def odd_or_even(n):
    """"""
    Print ""Even"" if n is even, or ""Odd"" if n is odd.
    """"""
    print(""Even"" if n % 2 == 0 else ""Odd"")",0,,hard,-1,TRAIN
41be5bed-ce39-4623-9b6b-94f8571450c2,73,100.0,2,2026-08-16 15:14:00.317172+00:00,medium,5818,"class Book:
    def __init__(self, title, author, available=True):
        self.title = title
        self.author = author
        self.available = available


class Library:
    def __init__(self):
        self.books = []

    def add_book(self, title, author):
        book = Book(title, author)
        self.books.append(book)

    def borrow_book(self, title):
        for book in self.books:
            if book.title == title:
                if not book.available:
                    raise ValueError(""Book is already borrowed"")
                book.available = False
                return

        raise ValueError(""Book not found"")

    def return_book(self, title):
        for book in self.books:
            if book.title == title:
                if book.available:
                    raise ValueError(""Book is not borrowed"")
                book.available = True
                return

        raise ValueError(""Book not found"")

    def available_books(self):
        return sorted(
            book.title for book in self.books
            if book.available
        )

    def search_by_author(self, author):
        return sorted(
            book.title for book in self.books
            if book.author == author
        )",1,,hard,-1,TEST
41be5bed-ce39-4623-9b6b-94f8571450c2,74,100.0,2,2026-08-16 15:39:25.210463+00:00,medium,6536,"class Product:
    def __init__(self, name, price, stock):
        self.name = name
        self.price = price
        self.stock = stock


class Store:
    def __init__(self):
        self.products = []

    def add_product(self, name, price, stock):
        product = Product(name, price, stock)
        self.products.append(product)

    def buy(self, name, quantity):
        if quantity <= 0:
            raise ValueError(""Quantity must be greater than 0"")

        for product in self.products:
            if product.name == name:
                if product.stock < quantity:
                    raise ValueError(""Insufficient stock"")
                product.stock -= quantity
                return

        raise ValueError(""Product not found"")

    def restock(self, name, quantity):
        if quantity <= 0:
            raise ValueError(""Quantity must be greater than 0"")

        for product in self.products:
            if product.name == name:
                product.stock += quantity
                return

        raise ValueError(""Product not found"")

    def total_value(self):
        total = 0

        for product in self.products:
            total += product.price * product.stock

        return round(total, 2)

    def available_products(self):
        return sorted(
            product.name for product in self.products
            if product.stock > 0
        )",1,medium,hard,1,TEST
41be5bed-ce39-4623-9b6b-94f8571450c2,76,100.0,2,2026-08-16 16:21:34.357470+00:00,medium,5955,"class Doctor:
    def __init__(self, doctor_id, name, specialty):
        self.doctor_id = doctor_id
        self.name = name
        self.specialty = specialty


class HospitalSystem:
    def __init__(self):
        self.doctors = {}
        self.appointments = []

    def add_doctor(self, doctor_id, name, specialty):
        if doctor_id in self.doctors:
            raise ValueError(""Doctor ID already exists"")

        self.doctors[doctor_id] = Doctor(doctor_id, name, specialty)

    def book_appointment(self, patient_name, doctor_id, date):
        if doctor_id not in self.doctors:
            raise ValueError(""Doctor not found"")

        for appointment in self.appointments:
            if appointment[1] == doctor_id and appointment[2] == date:
                raise ValueError(""Doctor already has an appointment"")

        self.appointments.append((patient_name, doctor_id, date))

    def cancel_appointment(self, patient_name, doctor_id, date):
        for appointment in self.appointments:
            if appointment == (patient_name, doctor_id, date):
                self.appointments.remove(appointment)
                return

        raise ValueError(""Appointment not found"")

    def get_appointments(self, doctor_id):
        if doctor_id not in self.doctors:
            raise ValueError(""Doctor not found"")

        result = []

        for patient_name, doc_id, date in self.appointments:
            if doc_id == doctor_id:
                result.append(f""{date}: {patient_name}"")

        return sorted(result)

    def get_patient_doctors(self, patient_name):
        doctors = []

        for patient, doctor_id, date in self.appointments:
            if patient == patient_name:
                doctors.append(self.doctors[doctor_id].name)

        return sorted(set(doctors))
",1,medium,hard,1,TEST
41be5bed-ce39-4623-9b6b-94f8571450c2,137,100.0,2,2026-08-16 16:34:42.422873+00:00,hard,5878,"def is_palindrome(s):
    if len(s) <= 1:
        return True

    if s[0] != s[-1]:
        return False

    return is_palindrome(s[1:-1])",2,medium,hard,1,TEST
41be5bed-ce39-4623-9b6b-94f8571450c2,136,100.0,2,2026-08-16 16:46:28.508328+00:00,hard,5815,"def flatten(nested):
    result = []

    for item in nested:
        if isinstance(item, list):
            result.extend(flatten(item))
        else:
            result.append(item)

    return result",2,hard,medium,2,TEST
483a1cd9-90fc-48f1-9868-f7c79dcd4bfd,55,100.0,4,2026-08-16 11:57:15.207090+00:00,medium,7744,"class Shape:
    def area(self):
        return 0
        
    def describe(self):
        return f""I am a {self.__class__.__name__} with area {self.area()}""

class Circle(Shape):
    def __init__(self, radius):
        self.radius = radius
        
    def area(self):
        return round(3.14159 * (self.radius ** 2), 2)

class Rectangle(Shape):
    def __init__(self, width, height):
        self.width = width
        self.height = height
        
    def area(self):
        return round(float(self.width * self.height), 2)

class Triangle(Shape):
    def __init__(self, base, height):
        self.base = base
        self.height = height
        
    def area(self):
        return round(0.5 * self.base * self.height, 2)",0,,hard,-1,TRAIN
483a1cd9-90fc-48f1-9868-f7c79dcd4bfd,56,100.0,1,2026-08-16 12:02:28.094228+00:00,medium,6849,"class Vehicle:
    def __init__(self, brand, speed):
        self.brand = brand
        self.speed = speed

    def describe(self):
        return f""Vehicle: {self.brand}, Speed: {self.speed} km/h""

    def is_fast(self):
        return self.speed > 120

class Car(Vehicle):
    def __init__(self, brand, speed, doors):
        super().__init__(brand, speed)
        self.doors = doors

    def describe(self):
        return f""Car: {self.brand}, Speed: {self.speed} km/h, Doors: {self.doors}""

class Motorcycle(Vehicle):
    def __init__(self, brand, speed):
        super().__init__(brand, speed)

    def describe(self):
        return f""Motorcycle: {self.brand}, Speed: {self.speed} km/h""

class Truck(Vehicle):
    def __init__(self, brand, speed, payload):
        super().__init__(brand, speed)
        self.payload = payload

    def describe(self):
        return f""Truck: {self.brand}, Speed: {self.speed} km/h, Payload: {self.payload}t""",3,medium,hard,1,TRAIN
